Factor,feature,estimate,p,p.adj,Sig,Omic_Layer
Factor3,A1CF,0.07329447192284413,0.3711202586303577,0.42884245277369737,No,Transcriptome Data
Factor3,A2LD1,0.3573875362339464,6.642091330572271e-6,1.5920640773183777e-5,Yes,Transcriptome Data
Factor3,A2M,-0.6391772739964552,1.0302742158102812e-18,1.4174647607199306e-17,Yes,Transcriptome Data
Factor3,A4GALT,-0.2532422092168646,0.0017049013684105841,0.0030368745429472464,Yes,Transcriptome Data
Factor3,AADACL1,0.19767982490217498,0.014974153277259771,0.022992119159813314,Yes,Transcriptome Data
Factor3,AAGAB,0.03088416902401455,0.7065844826807606,0.7467601803855005,No,Transcriptome Data
Factor3,AARS,-0.4103875845037122,1.6639785018306372e-7,4.776057697562104e-7,Yes,Transcriptome Data
Factor3,AASDHPPT,0.591465718872453,1.2820885446282364e-15,9.831967366780955e-15,Yes,Transcriptome Data
Factor3,ABCA1,0.11786554697879062,0.14948594649679667,0.18965484204110208,No,Transcriptome Data
Factor3,ABCA3,-0.2737733975929195,6.702869791167382e-4,0.001270927150391995,Yes,Transcriptome Data
Factor3,ABCA8,-0.20935288501932078,0.009884396111036304,0.015674589456131153,Yes,Transcriptome Data
Factor3,ABCB1,0.26771339344235295,8.897393127793589e-4,0.0016593422468842948,Yes,Transcriptome Data
Factor3,ABCB10,0.6105888590983981,8.510208784110822e-17,8.230376000107179e-16,Yes,Transcriptome Data
Factor3,ABCB6,0.08023022782854651,0.32744526998652446,0.38288735966618853,No,Transcriptome Data
Factor3,ABCB9,-0.388212504624946,8.420307849950286e-7,2.2490138488115078e-6,Yes,Transcriptome Data
Factor3,ABCC2,0.27252856933972996,7.10817685748715e-4,0.0013422594938759917,Yes,Transcriptome Data
Factor3,ABCC4,0.5909276999223515,1.3801966443952005e-15,1.0519791496914637e-14,Yes,Transcriptome Data
Factor3,ABCG1,-0.015686093604757465,0.8483971475413055,0.8699724646649974,No,Transcriptome Data
Factor3,ABCG2,-0.1106261896233154,0.1762936228382125,0.22086397248585882,No,Transcriptome Data
Factor3,ABHD10,0.1658821218263351,0.04179254683093171,0.05909579585821792,No,Transcriptome Data
