pathway,GO
GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS,GO:0009256
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS,GO:0006103
GOBP_2FE_2S_CLUSTER_ASSEMBLY,GO:0044571
GOBP_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_BIOSYNTHETIC_PROCESS,GO:0050428
GOBP_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_METABOLIC_PROCESS,GO:0050427
GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION,GO:0061158
GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION,GO:0070935
GOBP_5_PHOSPHORIBOSE_1_DIPHOSPHATE_METABOLIC_PROCESS,GO:0046391
GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III,GO:0042791
GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION,GO:0036261
GOBP_7_METHYLGUANOSINE_RNA_CAPPING,GO:0009452
GOBP_ABSCISSION,GO:0009838
GOBP_ACETATE_ESTER_TRANSPORT,GO:1901374
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS,GO:0006085
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS_FROM_PYRUVATE,GO:0006086
GOBP_ACETYL_COA_METABOLIC_PROCESS,GO:0006084
GOBP_ACETYLCHOLINE_METABOLIC_PROCESS,GO:0008291
GOBP_ACETYLCHOLINE_TRANSPORT,GO:0015870
GOBP_ACID_SECRETION,GO:0046717
GOBP_ACIDIC_AMINO_ACID_TRANSPORT,GO:0015800
GOBP_ACROSOMAL_VESICLE_EXOCYTOSIS,GO:0060478
GOBP_ACROSOME_ASSEMBLY,GO:0001675
GOBP_ACROSOME_REACTION,GO:0007340
GOBP_ACTIN_CROSSLINK_FORMATION,GO:0051764
GOBP_ACTIN_CYTOSKELETON_REORGANIZATION,GO:0031532
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT,GO:0030048
GOBP_ACTIN_FILAMENT_BASED_PROCESS,GO:0030029
GOBP_ACTIN_FILAMENT_BASED_TRANSPORT,GO:0099515
GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION,GO:0061572
GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION,GO:0030042
GOBP_ACTIN_FILAMENT_NETWORK_FORMATION,GO:0051639
GOBP_ACTIN_FILAMENT_ORGANIZATION,GO:0007015
GOBP_ACTIN_FILAMENT_REORGANIZATION,GO:0090527
GOBP_ACTIN_FILAMENT_SEVERING,GO:0051014
GOBP_ACTIN_MEDIATED_CELL_CONTRACTION,GO:0070252
GOBP_ACTIN_MODIFICATION,GO:0030047
GOBP_ACTIN_MYOSIN_FILAMENT_SLIDING,GO:0033275
GOBP_ACTIN_NUCLEATION,GO:0045010
GOBP_ACTIN_POLYMERIZATION_DEPENDENT_CELL_MOTILITY,GO:0070358
GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION,GO:0008154
GOBP_ACTION_POTENTIAL,GO:0001508
GOBP_ACTIVATED_T_CELL_PROLIFERATION,GO:0050798
GOBP_ACTIVATION_INDUCED_CELL_DEATH_OF_T_CELLS,GO:0006924
GOBP_ACTIVATION_OF_ADENYLATE_CYCLASE_ACTIVITY,GO:0007190
GOBP_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY,GO:0097202
GOBP_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS,GO:0006919
GOBP_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS_BY_CYTOCHROME_C,GO:0008635
GOBP_ACTIVATION_OF_GTPASE_ACTIVITY,GO:0090630
GOBP_ACTIVATION_OF_IMMUNE_RESPONSE,GO:0002253
GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE,GO:0002218
GOBP_ACTIVATION_OF_JANUS_KINASE_ACTIVITY,GO:0042976
GOBP_ACTIVATION_OF_MEIOSIS,GO:0090427
GOBP_ACTIVATION_OF_NF_KAPPAB_INDUCING_KINASE_ACTIVITY,GO:0007250
GOBP_ACTIVATION_OF_PHOSPHOLIPASE_C_ACTIVITY,GO:0007202
GOBP_ACTIVATION_OF_PHOSPHOLIPASE_D_ACTIVITY,GO:0031584
GOBP_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY,GO:0032147
GOBP_ACTIVATION_OF_PROTEIN_KINASE_B_ACTIVITY,GO:0032148
