annotation,gene,Cluster,Presence
ActivitedKRT_NK,XCL1,NK,Yes
ActivitedKRT_NK,XCL2,NK,No
ActivitedKRT_NK,ITM2C,NK,Yes
ActivitedKRT_NK,CXCR4,NK,Yes
ActivitedKRT_NK,KRT86,NK,Yes
ActivitedKRT_NK,RGCC,NK,No
ActivitedKRT_NK,ZNF683,NK,Yes
ActivitedKRT_NK,KRT81,NK,Yes
ActivitedKRT_NK,IGFBP2,NK,Yes
ActivitedKRT_NK,GZMK,NK,Yes
ActivitedKRT_NK,COTL1,NK,No
ActivitedKRT_NK,ZNF331,NK,Yes
ActivitedKRT_NK,RGS1,NK,Yes
ActivitedKRT_NK,BTG1,NK,Yes
ActivitedKRT_NK,CD44,NK,Yes
ActivitedKRT_NK,DUSP4,NK,Yes
ActivitedKRT_NK,RPLP1,NK,Yes
ActivitedKRT_NK,RPS27,NK,Yes
ActivitedKRT_NK,CD96,NK,Yes
ActivitedKRT_NK,RPL30,NK,Yes
ActivitedKRT_NK,RPL13,NK,Yes
ActivitedKRT_NK,RPS12,NK,Yes
ActivitedKRT_NK,RPS18,NK,No
ActivitedKRT_NK,OXNAD1,NK,No
ActivitedKRT_NK,ITGA1,NK,Yes
ActivitedKRT_NK,RPS15A,NK,Yes
ActivitedKRT_NK,SRGAP3,NK,Yes
ActivitedKRT_NK,RPS3,NK,No
ActivitedKRT_NK,RPS23,NK,Yes
ActivitedKRT_NK,CD9,NK,Yes
ActivitedKRT_NK,ID3,NK,Yes
ActivitedKRT_NK,RPL28,NK,Yes
ActivitedKRT_NK,PDE4B,NK,Yes
ActivitedKRT_NK,PLP2,NK,Yes
ActivitedKRT_NK,RPS27A,NK,Yes
ActivitedKRT_NK,CXCR6,NK,Yes
ActivitedKRT_NK,CAPG,NK,No
ActivitedKRT_NK,LDLRAD4,NK,No
ActivitedKRT_NK,ZFP36L2,NK,Yes
ActivitedKRT_NK,RPL18A,NK,No
ActivitedKRT_NK,RPS28,NK,Yes
ActivitedKRT_NK,RPS24,NK,Yes
ActivitedKRT_NK,PDCD4,NK,Yes
ActivitedKRT_NK,RPS14,NK,Yes
ActivitedKRT_NK,ITGAE,NK,Yes
ActivitedKRT_NK,CLDND1,NK,Yes
ActivitedKRT_NK,AREG,NK,No
ActivitedKRT_NK,STK17A,NK,Yes
ActivitedKRT_NK,RPS25,NK,No
ActivitedKRT_NK,KLRC1,NK,Yes
ActivitedKRT_NK,AC092580.4,NK,No
ActivitedKRT_NK,ITM2A,NK,Yes
ActivitedKRT_NK,RPL32,NK,Yes
ActivitedKRT_NK,CD3E,NK,Yes
ActivitedKRT_NK,RPS21,NK,Yes
ActivitedKRT_NK,FOSB,NK,Yes
ActivitedKRT_NK,RPL8,NK,Yes
ActivitedKRT_NK,RPL35A,NK,No
ActivitedKRT_NK,CD69,NK,Yes
ActivitedKRT_NK,RPL23A,NK,Yes
ActivitedKRT_NK,VIM,NK,Yes
ActivitedKRT_NK,PIK3R1,NK,Yes
ActivitedKRT_NK,KIR2DL4,NK,Yes
ActivitedKRT_NK,RPS7,NK,Yes
ActivitedKRT_NK,RPS19,NK,No
ActivitedKRT_NK,RPLP2,NK,Yes
ActivitedKRT_NK,RPL10A,NK,No
ActivitedKRT_NK,FOS,NK,Yes
ActivitedKRT_NK,RPL39,NK,Yes
ActivitedKRT_NK,ZFP36,NK,Yes
ActivitedKRT_NK,SAMSN1,NK,Yes
ActivitedKRT_NK,DUSP1,NK,Yes
ActivitedKRT_NK,LTB,NK,Yes
ActivitedKRT_NK,SOCS1,NK,Yes
ActivitedKRT_NK,RPS5,NK,No
ActivitedKRT_NK,RPL36,NK,Yes
ActivitedKRT_NK,JUNB,NK,Yes
ActivitedKRT_NK,CCL5,NK,No
ActivitedKRT_NK,RPS2,NK,No
ActivitedKRT_NK,RPL41,NK,Yes
ActivitedKRT_NK,RPS29,NK,Yes
ActivitedKRT_NK,DUSP2,NK,Yes
ActivitedKRT_NK,HSP90AB1,NK,Yes
ActivitedKRT_NK,TNFRSF18,NK,Yes
ActivitedKRT_NK,RPL24,NK,No
ActivitedKRT_NK,FAM177A1,NK,Yes
ActivitedKRT_NK,RPL13A,NK,Yes
ActivitedKRT_NK,YPEL5,NK,Yes
ActivitedKRT_NK,PPDPF,NK,Yes
ActivitedKRT_NK,NR4A2,NK,Yes
ActivitedKRT_NK,TMIGD2,NK,No
ActivitedKRT_NK,TNFAIP3,NK,Yes
ActivitedKRT_NK,CLEC2B,NK,Yes
ActivitedKRT_NK,PABPC1,NK,Yes
ActivitedKRT_NK,CD7,NK,Yes
ActivitedKRT_NK,TUBA4A,NK,Yes
ActivitedKRT_NK,TUBA1A,NK,Yes
ActivitedKRT_NK,HSPE1,NK,Yes
ActivitedKRT_NK,AC090498.1,NK,No
ActivitedKRT_NK,IL32,NK,Yes
ActivitedNK,CCL4,NK,No
ActivitedNK,CCL3,NK,No
ActivitedNK,AREG,NK,No
ActivitedNK,FOS,NK,Yes
ActivitedNK,ZFP36,NK,Yes
ActivitedNK,NR4A2,NK,Yes
ActivitedNK,TNFAIP3,NK,Yes
ActivitedNK,DUSP2,NK,Yes
ActivitedNK,CREM,NK,No
ActivitedNK,IER2,NK,Yes
ActivitedNK,BTG2,NK,Yes
ActivitedNK,NFKBIA,NK,No
ActivitedNK,JUNB,NK,Yes
ActivitedNK,CD69,NK,Yes
ActivitedNK,SRGN,NK,Yes
ActivitedNK,GZMB,NK,Yes
ActivitedNK,DUSP1,NK,Yes
ActivitedNK,SERTAD1,NK,Yes
ActivitedNK,PPP1R15A,NK,Yes
